title,company,location,link
[서울제약] 오송공장 생산팀 경력/신입 모집,충북 청주시 흥덕구,(주)서울제약,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41633056&location=ts&searchword=python&searchType=search&paid_fl=n
[한컴위드] 재무파트 신입/경력 채용 (정규직),경기 성남시 분당구,(주)한컴위드,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41674378&location=ts&searchword=python&searchType=search&paid_fl=n
(주) 유니크 계약직(생산/품질/자재) 모집(상여700),경남 김해시,(주)유니크,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41855321&location=ts&searchword=python&searchType=search&paid_fl=n
[마켓컬리] AMD(Assistant MD) 채용,서울 강남구,(주)컬리,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41635457&location=ts&searchword=python&searchType=search&paid_fl=n
회계/인사/총무 담당자(정규직) 채용,서울 구로구,에이치케이엠엔에스(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41692061&location=ts&searchword=python&searchType=search&paid_fl=n
[한국 쉘 석유] 윤활유 블렌딩 Operator 정규직 채용,부산 남구,에스씨케이(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41918067&location=ts&searchword=python&searchType=search&paid_fl=n
[마켓컬리] 상품 발주 및 관리 SCM 담당자 채용,서울 강남구,(주)컬리,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41637283&location=ts&searchword=python&searchType=search&paid_fl=n
경영관리본부 부문별 신입&경력직 채용,서울 중구,(주)유클릭,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41853358&location=ts&searchword=python&searchType=search&paid_fl=n
2021년 하반기 무역사무 · 수출입 신입사원 채용 공고,서울 중구,(주)제이엘피코퍼레이션,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41535196&location=ts&searchword=python&searchType=search&paid_fl=n
"생산,품질팀(제조,QA) 신입/경력직 채용",경기 오산시,㈜엘오티베큠,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41623934&location=ts&searchword=python&searchType=search&paid_fl=n
Python / JAVA / C# WPF 솔루션 개발 신입 및 경력사원 채용,서울 금천구,이지지아이에스(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41966583&location=ts&searchword=python&searchType=search&paid_fl=n
"[MD, 웹디자인, JAVA, PHP, Python, SEO, 유튜브, DBA] 채용",서울 금천구,(주)지이씨엘코리아,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41919340&location=ts&searchword=python&searchType=search&paid_fl=n
[업계1위/초봉5천] 1400만 서비스 백엔드 엔지니어 (Python),서울 관악구,(주)버즈니,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41953025&location=ts&searchword=python&searchType=search&paid_fl=n
Python 기반 빅데이터 처리 개발자, 서울전체,(주)드림어스컴퍼니,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41615339&location=ts&searchword=python&searchType=search&paid_fl=n
"C#, .NET, Python, JAVA 소프트웨어 개발자 채용 (신입/경력)",경기 용인시 기흥구,(주)미래로시스템,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41773641&location=ts&searchword=python&searchType=search&paid_fl=n
[AI] Python JAVA 머신러닝 개발자 모집,대전 유성구,(주)아이와즈,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41674153&location=ts&searchword=python&searchType=search&paid_fl=n
"[업계1위/신입초봉5천] AI 백엔드 엔지니어 (머신러닝,Python)",서울 관악구,(주)버즈니,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41562087&location=ts&searchword=python&searchType=search&paid_fl=n
반도체제조빅데이터솔루션개발및유지보수-C#/Java/Python/컨설팅,경기 성남시 분당구,(주)두플,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41720088&location=ts&searchword=python&searchType=search&paid_fl=n
"응용소프트웨어(C#, JAVA, Python, C, C++) 개발자 모집",경기 성남시 중원구,(주)코아칩스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41899663&location=ts&searchword=python&searchType=search&paid_fl=n
(주)애니파이브 - Python/React 개발자 정규직 채용,서울 구로구,㈜애니파이브,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41955467&location=ts&searchword=python&searchType=search&paid_fl=n
Python 개발, 대전전체,(주)사이버메드,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41838730&location=ts&searchword=python&searchType=search&paid_fl=n
[주4.5일] Python 개발자, 서울전체,(주)인라이플,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=39933289&location=ts&searchword=python&searchType=search&paid_fl=n
Python 웹 개발자,서울 강남구,(주)피에스알미디어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41890087&location=ts&searchword=python&searchType=search&paid_fl=n
"[업계1위/초봉5천] 신사업 커머스 백엔드 엔지니어 (Python, Docker)", 서울전체,(주)버즈니,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41954896&location=ts&searchword=python&searchType=search&paid_fl=n
"[업계1위/초봉5천] 커머스 백엔드 엔지니어 (Python, Docker)", 서울전체,(주)버즈니,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41527885&location=ts&searchword=python&searchType=search&paid_fl=n
[업계1위/신입초봉5천] 데이터 엔지니어 (Python & Docker),서울 관악구,(주)버즈니,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41562100&location=ts&searchword=python&searchType=search&paid_fl=n
[업계1위/신입초봉5천]  빅데이터 엔지니어 (Python & Docker),서울 관악구,(주)버즈니,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41629115&location=ts&searchword=python&searchType=search&paid_fl=n
"웹프로그래머(JAVA/Spring, Vue, Angular, php, python)등",서울 마포구,㈜호디,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41924334&location=ts&searchword=python&searchType=search&paid_fl=n
Python 개발자 채용, 서울전체,(주)버블콘,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41791415&location=ts&searchword=python&searchType=search&paid_fl=n
백엔드 엔지니어 (Python/Django), 서울전체,(주)피플펀드컴퍼니,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41414828&location=ts&searchword=python&searchType=search&paid_fl=n
Python 음성합성 서버 개발자, 서울전체,(주)포지큐브,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41951213&location=ts&searchword=python&searchType=search&paid_fl=n
[킵그로우] Python 개발자, 서울전체,(주)유니드컴즈,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41864703&location=ts&searchword=python&searchType=search&paid_fl=n
"[정규직] 데이터 사이언티스트  (DBMS, Python( or R), SQL)모집",경남 진주시,(주)나노에버,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41925043&location=ts&searchword=python&searchType=search&paid_fl=n
[핫셀러] Python 개발자 신입 공개채용,서울 동대문구,(주)핫셀러,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41670402&location=ts&searchword=python&searchType=search&paid_fl=n
[경력&신입] python 개발 정규직 채용, 서울전체,(주)폼즈,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41155918&location=ts&searchword=python&searchType=search&paid_fl=n
"머신비전  개발자 , C/C++/C#, OpenCV, MIL, PYTHON",경기 용인시 기흥구,(주)핸디비전,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41872290&location=ts&searchword=python&searchType=search&paid_fl=n
AI 개발자(Python / 웹 개발자) 모집 공고 (정규직),서울 서초구,(주)한국정보기술단,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41923401&location=ts&searchword=python&searchType=search&paid_fl=n
"상시채용-데이터 사이언티스트(통계분석) -AI/ML, R/Python경력",경기 수원시 영통구,(주)테너지,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41926693&location=ts&searchword=python&searchType=search&paid_fl=n
"[신입/정규] 광고 솔루션 개발 (Python, PHP)모집",서울 중구,(주)니트머스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41616744&location=ts&searchword=python&searchType=search&paid_fl=n
기술연구소 Python 정규직 채용,서울 금천구,(주)위즈브레인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41761857&location=ts&searchword=python&searchType=search&paid_fl=n
[개발자 채용] 빅데이터플랫폼/Python 개발 경력자,경기 안양시 동안구,(주)핸디소프트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41610701&location=ts&searchword=python&searchType=search&paid_fl=n
Python/임베디드/C#/Java/C언어 정규직 채용 - 인재선발,경력무관,(주)유비씨,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41905774&location=ts&searchword=python&searchType=search&paid_fl=n
"[업계1위/초봉5천] AI 백엔드 엔지니어 (머신러닝,Python)",서울 관악구,(주)버즈니,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41695440&location=ts&searchword=python&searchType=search&paid_fl=n
Python 경력 개발자 채용,서울 강남구,이지스케이(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41890688&location=ts&searchword=python&searchType=search&paid_fl=n
"드론 SW개발(Python, Embedded, Linux外 정규직/계약직 채용)",울산 중구,유콘크리에이티브주식회사,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41502264&location=ts&searchword=python&searchType=search&paid_fl=n
"응용프로그램개발(Python, .NET, C#) 채용 공고",서울 금천구,(주)솔브리드플러스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41668701&location=ts&searchword=python&searchType=search&paid_fl=n
SW 엔지니어 ( python) 병역특례 전문연구원,서울 강서구,이에이치알앤씨(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41902539&location=ts&searchword=python&searchType=search&paid_fl=n
SW 엔지니어 ( python) 신입 모집,서울 강서구,이에이치알앤씨(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41902704&location=ts&searchword=python&searchType=search&paid_fl=n
[계약직 3개월 후 정규직 전환] python & 앱개발 모집(경력무관),서울 강남구,주식회사 딥팜,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41829771&location=ts&searchword=python&searchType=search&paid_fl=n
